actual_cause,effect_valence,mechanism,trialNr
blue,unpleasant,disjunctive,1
blue,unpleasant,disjunctive,2
blue,unpleasant,disjunctive,3
blue,unpleasant,disjunctive,4
red,unpleasant,disjunctive,1
red,unpleasant,disjunctive,2
red,unpleasant,disjunctive,3
red,unpleasant,disjunctive,4
blue,neutral,disjunctive,1
blue,neutral,disjunctive,2
blue,neutral,disjunctive,3
blue,neutral,disjunctive,4
red,neutral,disjunctive,1
red,neutral,disjunctive,2
red,neutral,disjunctive,3
red,neutral,disjunctive,4
blue,pleasant,disjunctive,1
blue,pleasant,disjunctive,2
blue,pleasant,disjunctive,3
blue,pleasant,disjunctive,4
red,pleasant,disjunctive,1
red,pleasant,disjunctive,2
red,pleasant,disjunctive,3
red,pleasant,disjunctive,4
blue,unpleasant,conjunctive,1
blue,unpleasant,conjunctive,2
blue,unpleasant,conjunctive,3
blue,unpleasant,conjunctive,4
red,unpleasant,conjunctive,1
red,unpleasant,conjunctive,2
red,unpleasant,conjunctive,3
red,unpleasant,conjunctive,4
blue,neutral,conjunctive,1
blue,neutral,conjunctive,2
blue,neutral,conjunctive,3
blue,neutral,conjunctive,4
red,neutral,conjunctive,1
red,neutral,conjunctive,2
red,neutral,conjunctive,3
red,neutral,conjunctive,4
blue,pleasant,conjunctive,1
blue,pleasant,conjunctive,2
blue,pleasant,conjunctive,3
blue,pleasant,conjunctive,4
red,pleasant,conjunctive,1
red,pleasant,conjunctive,2
red,pleasant,conjunctive,3
red,pleasant,conjunctive,4
